公司名称,24-07,24-08,24-09,24-10,24-11,24-12,25-01,25-02,25-03,25-04,25-05,25-06
Microsoft,1,1,1,1,1,1,1,1,1,1,1,1
Huawei,2,2,2,2,2,2,2,2,2,2,2,2
Google,3,3,3,3,3,3,3,3,3,3,3,3
Amazon,4,4,4,4,4,4,4,4,4,4,4,4
Meta,5,5,5,5,5,5,5,5,5,5,5,5
RedHat,6,6,6,6,6,6,6,6,6,6,6,6
Mozilla,7,7,7,7,7,7,7,7,7,7,7,7
Alibaba,8,8,8,8,8,8,8,9,8,8,8,9
IBM,9,9,9,10,10,11,10,10,10,11,12,12
Elastic,10,10,10,9,9,9,9,8,9,9,9,8
HashiCorp,11,,,,,,,,,,,
Intel,12,13,13,13,,,15,,,,,
Ant group,13,11,14,,15,15,,,,,,
Grafana Labs,14,14,12,12,12,13,14,14,14,13,13,13
Nabu Casa Inc.,15,15,15,15,13,10,11,11,13,14,14,14
DataDog,,12,11,11,11,12,12,12,11,12,11,11
NVIDIA,,,,14,14,14,13,13,12,10,10,10
Hugging Face,,,,,,,,15,15,15,15,15
