name,openrank,stars,participants
openEuler,44723.98,3169,3997
飞桨 Paddle,29872.96,38128,7988
OpenHarmony,16687.79,1804,3387
deepin,6954.4,1679,452
Apache Doris,5223.98,3695,1037
openKylin,5195.22,648,1369
TDEngine,4170.18,3309,991
StarRocks,4073.12,2256,676
Apache ShardingSphere,3928.33,1508,812
TiDB,3394.28,2763,522
Nacos,3200.6,4920,1766
Apache Flink,3132.28,2393,499
openGauss,3054.31,360,1168
JeegcBoot,3027.73,11214,1712
昇思 MindSpore,2631.72,1327,1460
Apache DolphinScheduler,2448.04,2076,747
龙蜥,2248.49,935,482
Apache Dubbo,2042.06,1915,841
EMQX,2011.48,1907,333
Apache SeaTunnel,1994.52,2644,616
Apache IoTDB,1702.71,1594,233
Kaldi,1695.2,1514,345
Bytebase,1667.56,3820,158
MyBatisPlus,1333.62,2821,1187
Hyperf,1287.69,1447,429
隐语,1264.85,1323,436
Casbin,1063.05,5213,426
Apache Kyuubi,1035.41,510,218
Curve,1034.12,622,194
OpenSumi,997.01,744,135
WeChaty,987.55,5685,502
Apache EventMesh,912.76,381,219
Apache ShenYu,907.94,838,293
NutUI,834.67,591,270
DDE,816.89,1,33
JuiceFS,793.86,1880,190
HugeGraph,777.71,426,127
StreamPark,770.03,906,231
HertzBeat,644.27,2866,313
Cloudpods,591.43,592,151
CeresDB,507.91,685,47
kwok,455.35,1832,100
OpenTiny,450.34,1654,204
Sa-Token,389.49,18202,294
TuGraph,379.83,1084,115
UBML,372.05,116,48
Spiderpool,355.94,135,40
Eosphoros-ai,330.86,2740,189
HwameiStor,315.04,116,67
StoneDB,259.09,246,49
openGemini,254.65,854,86
Rainbond,239.93,883,90
魔搭 FaceChain,229,5634,247
Postcat,222.14,3881,106
DragonOS,187.16,147,29
Clusterpedia,154.04,204,44
开源面对面,132.34,114,36
DLRover,125.37,437,33
imi,125.27,288,25
仿应用开发,121.23,87,123
LinkWeChat,120.74,1652,104
VisActor,119.66,903,63
铜豌豆,115.86,41,24
GreatSQL,103.92,202,48
IvorySQL,84.92,545,28
Kuasar,75.02,891,31
Merbridge,71.46,198,32
Dorothy,53.82,138,25
F-OH,13.73,107,8
WeMQ,8.09,216,8
AmazingQuant,0.56,130,2
